STATION,ADDRESS,LOCALITY,ALTADDRESS,LONG_GDA94,LAT_GDA94,LONG_GDA20,LAT_GDA20
BOREEN POINT RURAL,"DAVIS ROAD, COOTHARABA",COOTHARABA ,,152.9351827690001,-26.298900410999977,152.93518895851588,-26.29888783761791
BOROREN RURAL,KENT STREET,BOROREN ,,151.4918500000001,-24.24512999999996,151.49185657137508,-24.24511726974529
BOULDERCOMBE RURAL,52476 BURNETT HIGHWAY,BOULDERCOMBE ,,150.4638570180001,-23.570989846999964,150.46386375731953,-23.57097701645013
BOWENVILLE RURAL,"LOT 1,  NORWIN ROAD",BOWENVILLE ,,151.4918593210001,-27.305247920999932,151.49186554031127,-27.305235215386695
BRAEMAR RURAL,1678 BEELBEE RD,BEELBEE,,150.8317490080001,-27.116196077999973,150.8317553204137,-27.116183309498847
BRANYAN RURAL,CORNER OF BARTHOLDT DRIVE AND NAROOMA DRIVE,BUNDABERG ,,152.26377815400008,-24.912869437999973,152.26378457607927,-24.912856787145206
BROOKFIELD RURAL,CORNER OF BOSCOMBE ROAD AND BROOKFIELD ROAD,BROOKFIELD ,,152.91359177000004,-27.494079177999936,152.91359781313503,-27.49406661198461
BROOKLANDS RURAL,LORD STREET,BROOKLANDS ,,151.81833718100006,-26.74290515399997,151.81834343216954,-26.742892474937307
BROOKLANDS RURAL,40 TANDURINGIE DRIVE,TARONG ,,151.8630295920001,-26.767715564999946,151.86303583553683,-26.767702890411393
BROOKLANDS RURAL,"LOT 173,  ACACIA DRIVE",ELLESMERE ,,151.73912209900004,-26.733369445999983,151.73912835960334,-26.733356759300623
BROOKSTEAD RURAL,GORE HIGHWAY,BROOKSTEAD ,,151.4423940380001,-27.76153241299994,151.4424002085971,-27.761519706309382
BROOLOO MARY RIVER RURAL,"LOT 11,  SUTTON STREET",BROOLOO ,,152.7013278940001,-26.488256080999975,152.70133408418516,-26.4882434858593
BROOWEENA DISTRICT  RURAL,SMITH CRESCENT,BROOWEENA ,,152.26342218800005,-25.599566452999966,152.26342852930148,-25.5995538076959
BULLHEAD RURAL,PENINSULA DEVELOPMENT ROAD,LAKELAND ,,144.85619246400006,-15.861728827999968,144.85620029946108,-15.861715492051529
BUNGADOO AND DISTRICT  RURAL,1 RIVER ROAD,BUNGADOO ,,152.0801391340001,-24.991298798999935,152.08014556453574,-24.99128613098163
BUNGUNDARRA RURAL,BUNGUNDARRA ROAD,BUNGUNDARRA ,,150.6565300000001,-23.063279999999963,150.6565367759531,-23.063267182681507
BUNGUNYA RURAL,CORNER OF MAIN STREET AND LANE STREET,BUNGUNYA ,,149.6570653440001,-28.42473240099997,149.65707163939447,-28.42471953770977
BUNYA MOUNTAIN RURAL,BUNYA MOUNTAINS ROAD,BUNYA MOUNTAINS ,,151.5967651310001,-26.88561647499995,151.5967713886263,-26.885603775984816
BURKETOWN RURAL,"LOT 120,  ALBERT STREET",BURKETOWN ,,139.54833500000007,-17.735535999999968,139.54834306131352,-17.735522384131674
BURRUM HEADS RURAL,BUSHNELL ROAD,BURRUM HEADS ,,152.62104589500007,-25.19211626899994,152.62105224975227,-25.192103655444008
BUXTON RURAL,"POWER STREET, POWER STREET, BUXTON QLD 4660",BUXTON ,,152.53401354100004,-25.19564606499995,152.53401990374607,-25.195633442894945
BYFIELDS RURAL,BYFIELD ROAD,BYFIELD ,,150.647847124,-22.84409219899993,150.64785392392767,-22.844079379070887
CABARLAH RURAL,"LOT 679, ",CABARLAH ,,151.9907465760001,-27.432317186999967,151.99075272624137,-27.43230452994073
CALEN AND CAMERONS POCKET RURAL,17 PRATTS RD,CALEN ,,148.7766306840001,-20.89857939099994,148.7766378339945,-20.89856639197953
CALLIOPE RURAL,VALLIS STREET,CALLIOPE ,,151.2030676160001,-24.01615906199993,151.20307423958377,-24.016146302818342
CALLIUNGAL RURAL,NEWMAN OVAL THOMPSON AVENUE,MOUNT MORGAN ,,150.38367373200003,-23.639748613999927,150.38368047132082,-23.639735776805143
CAMBOOYA RURAL,GEORGE STREET,CAMBOOYA ,,151.8670784080001,-27.70572703099998,151.86708453862474,-27.705714364210667
CAMOOWEAL TOWN RURAL,BARKEY HIGHWAY,MOUNT ISA ,,138.121355708,-19.92181887399994,138.12136377509967,-19.921805216204774
CAPTAIN CREEK RURAL,22 MURPHY ROAD,CAPTAIN CREEK ,,151.77895000000012,-24.290619999999933,151.77895653952862,-24.29060729733622
CARMILA AND DISTRICT RURAL,6 MUSIC STREET,CARMILA ,,149.40985211500004,-21.908923371999947,149.4098591160753,-21.908910434952254
CAWARRAL RURAL,674 CAWARRAL ROAD,CAWARRAL ,,150.6754238970001,-23.25627669199997,150.67543065076208,-23.256263877999352
CEDAR CREEK WOLFFDENE RURAL,17 VEIVERS ROAD,WOLFFDENE ,,153.1754833000001,-27.796519616999944,153.17548927649682,-27.796507079679603
