STATION,ADDRESS,LOCALITY,ALTADDRESS,CREWING,LEVYTYPE,LONG_GDA94,LAT_GDA94,LONG_GDA20,LAT_GDA20
DECEPTION BAY,26 ENDEAVOUR ST,DECEPTION BAY,,A,Class A,153.026806544,-27.18452765899997,153.026812613932,-27.18451510187298
DIMBULAH,1 RALEIGH ST,DIMBULAH,,A,Class D,145.10725350000007,-17.15064569699996,145.1072612268215,-17.15063238895314
DIRRANBANDI,4 COWILDI ST,DIRRANBANDI,,A,Class D,148.2233674590001,-28.58263378199996,148.22337390394063,-28.582620799269236
DURACK,506 BLUNDER ROAD,DURACK,,P,Class A,152.98557767300008,-27.587205448999953,152.98558369664966,-27.587192890924737
DYSART,27 QUEEN ELIZABETH DR,DYSART,,A,Class D,148.34821420200012,-22.58995649899998,148.34822122813526,-22.589943478801025
EATONS HILL,3 EATONS CROSSING ROAD,WARNER,South Pine Rd,P,Class A,152.9603611000001,-27.336477627999955,152.96036715792147,-27.336465065416537
EIDSVOLD,35 GOLDEN SPUR ST,EIDSVOLD,,A,Class D,151.12165901000003,-25.371444937999968,151.12166549044926,-25.371432182308645
EL ARISH,7 RYRIE ST,EL ARISH,,A,Class D,146.00375688000008,-17.805596006999963,146.00376449853954,-17.805582767070995
ELLIOTT HEADS,100 WELCH ST,ELLIOTT HEADS,,A,Class D,152.4885389430001,-24.908879938999974,152.48854534408346,-24.908867310084297
FOREST HILL,4 WILLIAM ST,FOREST HILL,,A,Class D,152.35634608400005,-27.588768631999983,152.35635217555156,-27.5887560116477
FORREST BEACH,MAPLE ST,FORREST BEACH,,A,Class D,146.29728729700003,-18.70762038099997,146.29729482395683,-18.707607169942754
GAYNDAH,8 PINEAPPLE ST,GAYNDAH,,A,Class D,151.60933943200007,-25.62595915999998,151.60934583512034,-25.62594645209331
GIN GIN,24 MULGRAVE ST,GIN GIN,,A,Class D,151.95463819200006,-24.98910419499998,151.95464463486024,-24.989091514873138
GIRU,12 BROOKES ST,GIRU,cnr Walton And Brookes Sts,A,Class D,147.10689855100009,-19.51356573399994,147.10690595288966,-19.513552590154713
GLADSTONE,3 CHARLES ST,WEST GLADSTONE,,P,Class A,151.24955356200007,-23.85841773599998,151.2495601987108,-23.858404979849755
GOOMBUNGEE,4 ANVIL COURT,GOOMBUNGEE,,A,Class D,151.84872327300002,-27.315025539999965,151.84872945269043,-27.315012868378037
GOOMERI,4 MOORE ST,GOOMERI,,A,Class D,152.0673112490001,-26.181312054999978,152.06731754105084,-26.18129939537261
GYMPIE,6 BLIGH ST,GYMPIE,cnr Bligh St and Nelson Rd,P,Class A,152.66819338200003,-26.191914030999953,152.66819961171026,-26.19190143019979
HARRISVILLE,50 QUEEN ST,HARRISVILLE,,A,Class D,152.66816334600003,-27.811001019999935,152.6681693759914,-27.810988432069472
HELENSVALE,1 DISCOVERY DR,HELENSVALE,,P,Class A,153.3372937260001,-27.92139145899995,153.3372996688444,-27.921378939052712
HELIDON,13 RAILWAY ST,HELIDON,,A,Class D,152.12322583600007,-27.55068461199994,152.12323195751887,-27.55067196866661
HENDRA,451 NUDGEE RD,HENDRA,,P,Class A,153.0748562760001,-27.415249090999964,153.0748623117692,-27.415236540529698
HIGHFIELDS,49 O'BRIEN ROAD,HIGHFIELDS,cnr O'Brien Road and Community Court,A,Class A,151.94734085400012,-27.451009514999953,151.947347006676,-27.450996853911484
HOLLYWELL,318 BAYVIEW ST,HOLLYWELL,,P,Class A,153.39874720000012,-27.895358508999948,153.3987531394932,-27.89534599510003
HOME HILL,83 TENTH AV,HOME HILL,,A,Class D,147.41604281700006,-19.660957593999967,147.41605018333738,-19.66094447518118
HUGHENDEN,4 SWANSON ST,HUGHENDEN,cnr Swanson And McLaren Sts,A,Class D,144.19367336000005,-20.850256657999978,144.19368088301337,-20.850243320445852
IMBIL,113 YABBA RD,IMBIL,,A,Class D,152.67650323500004,-26.45910187499993,152.6765094313003,-26.45908927716718
