STATION,ADDRESS,LOCALITY,ALTADDRESS,CREWING,LEVYTYPE,LONG_GDA94,LAT_GDA94,LONG_GDA20,LAT_GDA20
PROSTON,24 COLLINGWOOD ST,PROSTON,,A,Class D,151.60263049500008,-26.16471072099995,151.60263683641062,-26.164698016791654
TEWANTIN,2 HILTON TCE,TEWANTIN,,A,Class A,153.04383905800012,-26.396322685999962,153.04384522442135,-26.396310124289325
BEERWAH,23A BEERWAH PARADE,BEERWAH,,A,Class D,152.9592854330001,-26.85524427799993,152.95929155118216,-26.855231711484073
CALOUNDRA,18 INDUSTRIAL AV,CALOUNDRA WEST,,P,Class A,153.11796024900002,-26.795544219999954,153.11796635810668,-26.795531668941422
MAROOCHYDORE,1 NORTH BUDERIM BVD,MAROOCHYDORE,,P,Class A,153.0651203870001,-26.662585242999967,153.0651265181744,-26.66257268556172
CHARLTON,17 STEGER RD,CHARLTON,,P,Class A,151.84802355600004,-27.517913490999945,151.84802971137418,-27.51790082090977
MALANDA,23 JAMES ST,MALANDA,,A,Class D,145.59549430700008,-17.353053745999944,145.5955019872189,-17.35304047331868
HERBERTON,38 PERKINS ST,HERBERTON,,A,Class D,145.3874642390001,-17.389219055999945,145.38747193001214,-17.38920576916916
SMITHFIELD,2-4 AINSLIE PLACE ,SMITHFIELD,,P,Class A,145.69466416800003,-16.832724558999928,145.69467188135178,-16.832711288830197
THURSDAY ISLAND,50 LOBAN ST,THURSDAY ISLAND,,A,Class C,142.2222782020001,-10.577056310999978,142.2222864988279,-10.577042768706685
INNISFAIL,48-50 FITZGERALD ESPLANADE,INNISFAIL,,C,Class B,146.03086498400012,-17.52162877799998,146.03087262289958,-17.521615537594762
KURRIMINE BEACH,911 MURDERING PT RD,KURRIMINE BEACH,,A,Class D,146.10140992700008,-17.773397988999932,146.1014175415548,-17.77338475581276
ALPHA,1 BURNS ST,ALPHA,,A,Class D,146.63327090500002,-23.649268335999977,146.63327798978142,-23.649255190620174
BEENLEIGH,35 BRIGADE DR,BEENLEIGH,,P,Class A,153.20190856400006,-27.70333087299997,153.2019145495238,-27.703318337615357
BURNETT HEADS,15 BREWER ST,BURNETT HEADS,,A,Class D,152.4099731220001,-24.763895555999966,152.40997954762366,-24.763882918194977
DUNWICH,39 MITCHELL CR,DUNWICH,,A,Class D,153.40866519400004,-27.49769418799997,153.40867118355277,-27.49768167197357
ENOGGERA,224 LLOYD ST,ENOGGERA,,P,Class A,152.98881725400008,-27.425457406999953,152.98882329769296,-27.42544484797157
GOONDIWINDI,173 MARSHALL ST,GOONDIWINDI,,A,Class D,150.3125491840001,-28.547462184999972,150.3125553899936,-28.547449380568356
HALIFAX,5 ROSENDAHL ST,HALIFAX,,A,Class D,146.28651982400004,-18.58442829699993,146.28652736159563,-18.584415084114703
KENILWORTH,10 PHILIP ST,KENILWORTH,,A,Class D,152.7266842780001,-26.594653690999962,152.72669045253417,-26.594641099224678
KOORALBYN,13 SALISBURY AV,KOORALBYN,,A,Class D,152.84205507900003,-28.085723047999977,152.84206105526889,-28.08571047949711
KURANDA,12A COONDOO ST,KURANDA,,A,Class D,145.63448627100001,-16.820406780999974,145.63449398904288,-16.820393506501425
MILLAA MILLAA,1 MAPLE AV,MILLAA MILLAA,,A,Class D,145.61289038200005,-17.511867158999962,145.61289804902546,-17.511853888887757
MOURA,5 GILCHRIST ST,MOURA,,A,Class D,149.9745900570001,-24.57053091499995,149.9745967362362,-24.570518049022546
PROSERPINE,61 HINSCHEN ST,PROSERPINE,,A,Class D,148.5786136360001,-20.40432442699995,148.5786208476596,-20.40431140742233
YUNGABURRA,32 EACHAM RD,YUNGABURRA,,A,Class D,145.5846603130001,-17.270832208999934,145.58466800014867,-17.27081893486086
ROSEWOOD,41A ALBERT ST,ROSEWOOD,,A,Class D,152.59037090200002,-27.637500364999937,152.5903769621205,-27.637487768016385
MALENY,2 DIXON AVE,MALENY,,A,Class D,152.83656280600007,-26.755613299999936,152.8365689493221,-26.755600720433364
BRACKEN RIDGE,223 BRACKEN RIDGE ROAD,BRACKEN RIDGE,,P,Class A,153.04260319000002,-27.31175203999993,153.04260924226196,-27.31173948546828
TAIGUM,263 BEAMS ROAD,TAIGUM,,P,Class A,153.04656645700004,-27.350896294999927,153.0465725039095,-27.35088374117652
MOSSMAN,87-89 FRONT ST,MOSSMAN,,A,Class D,145.37250074500002,-16.467253262999975,145.37250850562333,-16.4672399672708
MARBURG,75 EDMOND ST,MARBURG,,A,Class A,152.59568517900004,-27.56570544899995,152.59569124747182,-27.565692851975165
CHARTERS TOWERS,3-5 ENTERPRISE RD,CHARTERS TOWERS,,C,Class C,146.2701707000001,-20.076610409999944,146.27017811813386,-20.076597208483587
GRACEMERE,9 RUSSELL ST,GRACEMERE,,A,Class A,150.4553046200001,-23.438657889999945,150.45531137410782,-23.438645057587728
LONGREACH,107-111 EMU ST,LONGREACH,,A,Class D,144.24747666200005,-23.44078187899993,144.24748398772402,-23.44076856583363
GLENDEN,2 BELL PL,GLENDEN,,A,Class D,148.118950164,-21.358349045999944,148.11895732424364,-21.358335997003525
YARRABILBA,23-31 ADLER CIRCUIT,YARRABILBA,,P,Class A,153.0995453800001,-27.802543619999938,153.09955136399284,-27.80253107507015
TAMBORINE MOUNTAIN,126 MAIN WESTERN RD,TAMBORINE MOUNTAIN,,A,Class D,153.18042910200006,-27.93639522099994,153.18043506007095,-27.93638268527883
