,pubDate,title,description,link,geo:lat,geo:long
31,"Sat, 04 Nov 2023 09:45:11 +1100","223, Berrigan Fire Station","7 Cobram Road, Berrigan NSW 2712",https://www.fire.nsw.gov.au/page.php?id=9210&station=32,-35.65816,145.809197
32,"Sat, 04 Nov 2023 09:45:11 +1100","224, Berry Fire Station","26 Prince Alfred Street, Berry NSW 2535",https://www.fire.nsw.gov.au/page.php?id=9210&station=33,-34.776543,150.699077
33,"Sat, 04 Nov 2023 09:45:11 +1100","225, Bingara Fire Station","44 Finch Street, Bingara NSW 2404",https://www.fire.nsw.gov.au/page.php?id=9210&station=34,-29.867124,150.570417
34,"Sat, 04 Nov 2023 09:45:11 +1100","226, Blackheath Fire Station","223-225 Great Western Highway, Blackheath NSW 2785",https://www.fire.nsw.gov.au/page.php?id=9210&station=35,-33.636722,150.285236
35,"Sat, 04 Nov 2023 09:45:11 +1100","063, Blacktown Fire Station","222 Richmond Road, Woodcroft NSW 2767",https://www.fire.nsw.gov.au/page.php?id=9210&station=36,-33.752409,150.886982
36,"Sat, 04 Nov 2023 09:45:11 +1100","227, Blayney Fire Station","23 Church Street, Blaney NSW 2799",https://www.fire.nsw.gov.au/page.php?id=9210&station=37,-33.530104,149.25342
37,"Sat, 04 Nov 2023 09:45:11 +1100","229, Boggabri Fire Station","175 Merton Street, Boggabri NSW 2382",https://www.fire.nsw.gov.au/page.php?id=9210&station=38,-30.703128,150.044616
38,"Sat, 04 Nov 2023 09:45:11 +1100","230, Bombala Fire Station","182-184 Maybe Street, Bombala NSW 2632",https://www.fire.nsw.gov.au/page.php?id=9210&station=39,-36.912157,149.238869
39,"Sat, 04 Nov 2023 09:45:11 +1100","076, Bondi Fire Station","359 Old South Head Road, Bondi NSW 2026",https://www.fire.nsw.gov.au/page.php?id=9210&station=40,-33.882412,151.270084
40,"Sat, 04 Nov 2023 09:45:11 +1100","101, Bonnyrigg Heights Fire Station","70 Gloucester Street, Bonnyrigg Heights NSW 2177",https://www.fire.nsw.gov.au/page.php?id=9210&station=41,-33.889143,150.861481
41,"Sat, 04 Nov 2023 09:45:11 +1100","232, Boorowa Fire Station","70 Pudman Street, Boorowa NSW 2586",https://www.fire.nsw.gov.au/page.php?id=9210&station=43,-34.437036,148.723335
42,"Sat, 04 Nov 2023 09:45:11 +1100","035, Botany Fire Station","3 Banksia Street, Botany NSW 2019",https://www.fire.nsw.gov.au/page.php?id=9210&station=44,-33.944737,151.197445
43,"Sat, 04 Nov 2023 09:45:11 +1100","233, Bourke Fire Station","25 Mitchell Street, Bourke NSW 2840",https://www.fire.nsw.gov.au/page.php?id=9210&station=45,-30.088451,145.936657
44,"Sat, 04 Nov 2023 09:45:11 +1100","234, Bowral Fire Station","16 Merrigang Street, Bowral NSW 2576",https://www.fire.nsw.gov.au/page.php?id=9210&station=46,-34.477679,150.419458
45,"Sat, 04 Nov 2023 09:45:11 +1100","235, Bowraville Fire Station","55 High Street, Bowraville NSW 2449",https://www.fire.nsw.gov.au/page.php?id=9210&station=47,-30.648457,152.852737
46,"Sat, 04 Nov 2023 09:45:11 +1100","236, Braidwood Fire Station","13 Park Lane, Braidwood NSW 2622",https://www.fire.nsw.gov.au/page.php?id=9210&station=48,-35.442542,149.798822
47,"Sat, 04 Nov 2023 09:45:11 +1100","237, Branxton Greta Fire Station","2a Drinan Street, Branxton NSW 2335",https://www.fire.nsw.gov.au/page.php?id=9210&station=49,-32.658561,151.352245
48,"Sat, 04 Nov 2023 09:45:11 +1100","244, Brewarrina Fire Station","98 Bathurst Street, Brewarrina NSW 2839",https://www.fire.nsw.gov.au/page.php?id=9210&station=50,-29.961666,146.860093
49,"Sat, 04 Nov 2023 09:45:11 +1100","238, Broken Hill Fire Station","248 Blende Street, Broken Hill NSW 2880",https://www.fire.nsw.gov.au/page.php?id=9210&station=51,-31.957676,141.46355
50,"Sat, 04 Nov 2023 09:45:11 +1100","239, Broken Hill Sth Fire Station","151 Patton Street, Broken Hill NSW 2880",https://www.fire.nsw.gov.au/page.php?id=9210&station=52,-31.979569,141.46215
51,"Sat, 04 Nov 2023 09:45:11 +1100","240, Brunswick Heads Fire Station","4 Fingal Street, Brunswick Heads NSW 2483",https://www.fire.nsw.gov.au/page.php?id=9210&station=53,-28.541031,153.551964
52,"Sat, 04 Nov 2023 09:45:11 +1100","245, Budgewoi Fire Station","80 Scenic Drive, Budgewoi NSW 2262",https://www.fire.nsw.gov.au/page.php?id=9210&station=54,-33.234886,151.555541
53,"Sat, 04 Nov 2023 09:45:11 +1100","241, Bulli Fire Station","325-327 Princes Highway, Bulli NSW 2516",https://www.fire.nsw.gov.au/page.php?id=9210&station=55,-34.338713,150.909453
54,"Sat, 04 Nov 2023 09:45:11 +1100","242, Bundanoon Fire Station","15 Anzac Parade, Bundanoon NSW 2578",https://www.fire.nsw.gov.au/page.php?id=9210&station=56,-34.656637,150.297446
